date,headline
6/7/2020,Shehu Sani told me CJN asked for N4m for judges – Witness 
6/7/2020,FG announces 2020 WASSCE date 
6/7/2020,Magu not arrested — EFCC 
6/7/2020,"VIDEO: Frank Amudo, D’Banj’s ex-manager speaks on rape allegation "
6/7/2020,"VIDEO: Tijani Oniru, late Oba Oniru’s son, beaten by new Oba’s security men "
6/7/2020,VIDEO: I am alive and well – Ebenezer Obey 
6/7/2020,"Imo gov’s wife, Ekwunife rescue raped mother of triplets "
6/7/2020,Teenager gang-raped by four men tests positive for COVID-19 
6/7/2020,"21 missing in Benue boat accident, Lagos death toll rises to seven "
6/7/2020,"LASTMA official stabs live-in lover, commits suicide "
6/7/2020,Flooding: Ogun threatens demolition of structures obstructing waterways 
6/7/2020,Two die in Anambra cult clash  
6/7/2020,Appeal Court judge’s wife abducted in Cross River 
6/7/2020,Hit-and-run driver kills Osun motorcyclist 
6/7/2020,Six die in Bauchi auto crashes 
6/7/2020,"PDP only interested in Edo treasury, says Ganduje "
6/7/2020,"Igbo owe Buhari eternal gratitude, says Arthur Eze "
6/7/2020,"NCF will address Nigeria’s misgovernance, says Balarabe Musa "
6/7/2020,No region can produce Nigeria’s president alone– Ohanaeze 
6/7/2020,Buhari ignorant of happenings in Presidency –Fayose’s aide 
6/7/2020,Anambra gov: PDP threatens to expel errant members 
6/7/2020,"SEC boss, commissioners assume duties "
6/7/2020,UK house prices show first fall in eight years 
6/7/2020,Airlines raise fares as domestic flights resume Wednesday 
6/7/2020,"Ngige approved N3.4bn NSITF training fund, says management "
6/7/2020,"FG appoints, redeploys NNPC top management staff "
6/7/2020,"Lagos, Rivers lead as states domestic debts hit N4.1tn "
6/7/2020,IVF treatment more affordable in Nigeria – Gynaecologist 
6/7/2020,"Maternal deaths preventable with safe motherhood strategies, says expert "
6/7/2020,Many COVID-19 patients still reject results in God’s name — Psychiatrist 
6/7/2020,"Son, Lloris clash as Spurs beat Everton "
6/7/2020,Arsenal target fifth straight win against Leicester 
6/7/2020,Chelsea take Champions League pursuit to Selhurst Park 
6/7/2020,What Has Insurance Got To Do With Rainy Season? 
6/7/2020,Subscribe To Epunch 
6/7/2020,Download the new PUNCH app 
7/7/2020,Senate passes bill on sexual harassment 
7/7/2020,"Magu: Again, journalists barred as panel resumes sitting "
7/7/2020,Ondo Assembly serves deputy gov impeachment notice 
7/7/2020,VIDEO: Reps inspect Abuja airport as domestic flights resume 
7/7/2020,[VIDEO] Facts and Fiction: Did Nigerian scientists discover a cure for COVID-19 recently? 
7/7/2020,"VIDEO: Frank Amudo, D’Banj’s ex-manager speaks on rape allegation "
7/7/2020,16-year-old-boy drowns in Kano 
7/7/2020,Kidnapped Delta NLC chairman regains freedom 
7/7/2020,Ogun police framed us as land-grabbers – Community leader 
7/7/2020,Three-year-old boy goes missing in Anambra church 
7/7/2020,"Gunmen raid Anambra hotel, rape two ladies "
7/7/2020,"Controversy as Benue make-up artist slumps, dies during birthday celebration "
7/7/2020,"Ekiti man, 30, in court for killing nonagenarian "
7/7/2020,Police comb Benue river for worshipers’ bodies 
7/7/2020,"Gunmen abduct Nasarawa SUBEB chair’s aide, demand N10m "
7/7/2020,"Ganduje: APC plans to use security agents in Edo, says Wike "
7/7/2020,106 ADP members defect to PDP in Edo 
7/7/2020,"Ondo Primary: APC appoints Tumsa, Kareto to chair panels "
7/7/2020,I’ll work against Akeredolu’s reelection – Ex-SSG 
7/7/2020,PDP only interested in Edo treasury – Ganduje 
7/7/2020,"Igbo owe Buhari eternal gratitude, says Arthur Eze "
7/7/2020,"Nigeria’s inflation’ll average 12.2% in 2020, says PwC "
7/7/2020,"FG writes off N4.2bn debt for radio, TV stations "
7/7/2020,Buhari bars VIPs’ aides from airport terminals 
7/7/2020,"CBN debits banks N122bn, moves to unify exchange rates "
7/7/2020,Flight resumption: FG constitutes COVID-19 protocols enforcement team 
7/7/2020,$11.5bn injected into forex market in Q1 – CBN 
7/7/2020,IVF treatment more affordable in Nigeria – Gynaecologist 
7/7/2020,"Maternal deaths preventable with safe motherhood strategies, says expert "
7/7/2020,Many COVID-19 patients still reject results in God’s name — Psychiatrist 
7/7/2020,Brazil football league to resume Aug 9 
7/7/2020,France winger Grosso returns to Lyon on one-year deal 
7/7/2020,Atlanta mayor tests positive for COVID-19 
7/7/2020,Hicolumn; The Groundbreaking Online Marketplace Launching in Nigeria 
7/7/2020,IT Jobs in Nigeria 
7/7/2020,Why Is Sports Betting So Popular in the UK? 
8/7/2020,[UPDATED] WASSCE 2020: FG stops resumption of unity schools 
8/7/2020,UPDATED: Umar resumes as EFCC’s acting chairman 
8/7/2020,Magu: Salami-led panel continues sitting inside Aso Rock 
8/7/2020,"VIDEO: White foamy substance sighted at Anthony Village, Lagos "
8/7/2020,"VIDEO: Flight operations resume at Nnamdi Azikiwe International Airport, Abuja "
